MAX_LEN,MAX_THRESHOLD,MIN_LEN,MIN_THRESHOLD,N_ASSEMBLIES,SPECIES
2217184,2438902.4000000004,2138805,1924924.5,6,Streptococcus salivarius
2402284,2642512.4000000004,2292377,2063139.3,15,Streptococcus sanguinis
2360910,2597001.0,1874337,1686903.3,17,Streptococcus sp.
2255345,2480879.5,1980887,1782798.3,23,Streptococcus suis
1929905,2122895.5,1736449,1562804.1,20,Streptococcus thermophilus
1852352,2037587.2000000002,1852352,1667116.8,1,Streptococcus uberis
2130431,2343474.1,2130431,1917387.9000000001,1,Streptococcus urinalis
1873061,2060367.1,1873061,1685754.9000000001,1,Streptococcus vestibularis
9784577,10284577.0,9360281,8860281.0,2,Streptomyces albulus
8384669,8884669.0,6813830,6313830.0,3,Streptomyces albus
8303940,8803940.0,8137876,7637876.0,2,Streptomyces ambofaciens
8759578,9259578.0,8759578,8259578.0,1,Streptomyces anulatus
9025608,9525608.0,9025608,8525608.0,1,Streptomyces avermitilis
11936683,12436683.0,11936683,11436683.0,1,Streptomyces bingchenggensis
6883702,7383702.0,6883702,6383702.0,1,Streptomyces clavuligerus
8667507,9167507.0,8667507,8167507.0,1,Streptomyces coelicolor
8272925,8772925.0,8272925,7772925.0,1,Streptomyces collinus
7762396,8262396.0,7762396,7262396.0,1,Streptomyces cyaneogriseus
9466619,9966619.0,9466619,8966619.0,1,Streptomyces davawensis
7905758,8405758.0,7905758,7405758.0,1,Streptomyces fulvissimus
8265412,8765412.0,8265412,7765412.0,1,Streptomyces ghanaensis
7453200,7953200.0,7453200,6953200.0,1,Streptomyces glaucescens
8047042,8547042.0,8047042,7547042.0,1,Streptomyces griseoflavus
7563100,8063100.0,7563100,7063100.0,1,Streptomyces griseorubens
8727767,9227767.0,8545929,8045929.0,2,Streptomyces griseus
10901646,11401646.0,10901646,10401646.0,1,Streptomyces himastatinicus
10145833,10645833.0,9840102,9340102.0,2,Streptomyces hygroscopicus
8648285,9148285.0,8648285,8148285.0,1,Streptomyces incarnatus
11956957,12456957.0,11956957,11456957.0,1,Streptomyces iranensis
7903895,8403895.0,7903895,7403895.0,1,Streptomyces leeuwenhoekii
10319054,10819054.0,10319054,9819054.0,1,Streptomyces lincolnensis
8496762,8996762.0,8318010,7818010.0,2,Streptomyces lividans
9300149,9800149.0,9300149,8800149.0,1,Streptomyces lydicus
8514960,9014960.0,8514960,8014960.0,1,Streptomyces niveus
7714110,8214110.0,7714110,7214110.0,1,Streptomyces nodosus
9815884,10315884.0,9815884,9315884.0,1,Streptomyces noursei
7149446,7649446.0,7149446,6649446.0,1,Streptomyces parvulus
7337497,7837497.0,7337497,6837497.0,1,Streptomyces pratensis
8532592,9032592.0,8133379,7633379.0,2,Streptomyces pristinaespiralis
7458334,7958334.0,7458334,6958334.0,1,Streptomyces purpureus
12700734,13200734.0,12700734,12200734.0,1,Streptomyces rapamycinicus
9663240,10163240.0,9663240,9163240.0,1,Streptomyces roseochromogenes
7851943,8351943.0,7817295,7317295.0,2,Streptomyces roseosporus
7070328,7570328.0,7070328,6570328.0,1,Streptomyces sampsonii
10148695,10648695.0,10148695,9648695.0,1,Streptomyces scabiei
9153597,9653597.0,6808467,6308467.0,20,Streptomyces sp.
9313494,9813494.0,9313494,8813494.0,1,Streptomyces sviceus
4898395,5388234.5,4898395,4408555.5,1,Streptomyces thermoautotrophicus
9034396,9534396.0,8226158,7726158.0,2,Streptomyces venezuelae
8867142,9367142.0,8867142,8367142.0,1,Streptomyces vietnamensis
10657107,11157107.0,10657107,10157107.0,1,Streptomyces violaceusniger
8653262,9153262.0,8653262,8153262.0,1,Streptomyces viridochromogenes
5961401,6461401.0,5961401,5461401.0,1,Streptomyces xiamenensis
10341314,10841314.0,10341314,9841314.0,1,Streptosporangium roseum
2085243,2293767.3000000003,2085243,1876718.7,1,Succinispira mobilis
3276862,3604548.2,3276862,2949175.8000000003,1,Sulfitobacter donghicola
3800602,4180662.2,3800602,3420541.8000000003,1,Sulfitobacter guttiformis
3551206,3906326.6,3472898,3125608.2,2,Sulfobacillus acidophilus
3130594,3443653.4000000004,3130594,2817534.6,1,Sulfuricella denitrificans
2574824,2832306.4000000004,2574824,2317341.6,1,Sulfuricurvum kujiense
1640877,1804964.7000000002,1640877,1476789.3,1,Sulfurihydrogenibium azorense
1838442,2022286.2000000002,1838442,1654597.8,1,Sulfurihydrogenibium sp.
2153198,2368517.8000000003,2153198,1937878.2,1,Sulfurimonas autotrophica
2201561,2421717.1,2201561,1981404.9000000001,1,Sulfurimonas denitrificans
3802648,4182912.8000000003,3802648,3422383.2,1,Sulfuritalea hydrogenivorans
2510109,2761119.9000000004,2510109,2259098.1,1,Sulfurospirillum barnesii
2698323,2968155.3000000003,2698323,2428490.7,1,Sulfurospirillum cavolei
2306351,2536986.1,2306351,2075715.9000000001,1,Sulfurospirillum deleyianum
3175729,3493301.9000000004,3175729,2858156.1,1,Sulfurospirillum multivorans
2606563,2867219.3000000003,2606563,2345906.7,1,Sulfurospirillum sp.
2217891,2439680.1,2217891,1996101.9000000001,1,Sulfurovum lithotrophicum
2562277,2818504.7,2562277,2306049.3000000003,1,Sulfurovum sp.
3566135,3922748.5000000005,3566135,3209521.5,1,Symbiobacterium thermophilum
2696255,2965880.5000000005,2695903,2426312.7,2,Synechococcus elongatus
3059495,3365444.5000000005,2111515,1900363.5,23,Synechococcus sp.
